horizon,rho_combo_train_count,rho_combo_train_mean,rho_combo_train_median,rho_combo_test_count,rho_combo_test_mean,rho_combo_test_median,rho_garch_test_count,rho_garch_test_mean,rho_garch_test_median,rho_pmt_test_count,rho_pmt_test_mean,rho_pmt_test_median
10,500,0.4489489975535908,0.4625767952423596,492,0.05305485676822548,0.05915035760520018,496,0.0855943533888745,0.05053118711977029,492,0.07333523968090651,0.08631104918148202
21,500,0.4734945305631675,0.4805574428886537,492,0.02922779543998353,0.03623206506434876,496,0.07830230035183543,0.032481991921660874,492,0.06731250706221972,0.06056423937766425
31,500,0.48193427613603196,0.4978681100292567,492,-0.012089135812718891,-0.011803956103509008,496,0.06678932149457781,0.01625072534413237,492,0.03093809975806563,0.04179322818219827
42,500,0.4898426368215347,0.5085709436638102,493,-0.0396835445293919,-0.039009985798976625,496,0.06016463116770945,0.01272525380296367,493,-0.00493238517289253,-0.002204539819218718
