horizon,n_tickers,mean,median
10,501,0.3652243487526656,0.35930336684523795
21,501,0.3702754858410088,0.36472499575256356
31,501,0.36263567886077264,0.3581657164295578
42,501,0.3526597290745157,0.34774166881788177
