run_id,ticker,error_type,error,traceback
20260304T034058Z,AZO,ValueError,No data found for ticker AZO,"Traceback (most recent call last):
  File ""/home/jose/price-mortality-theory/scripts/garch_comparison.py"", line 68, in garch_analysis
    df = load_ticker_data(ticker, start_date=start_date, end_date=end_date)
ValueError: No data found for ticker AZO"
20260304T034058Z,LNT,ValueError,No data found for ticker LNT,"Traceback (most recent call last):
  File ""/home/jose/price-mortality-theory/scripts/garch_comparison.py"", line 68, in garch_analysis
    df = load_ticker_data(ticker, start_date=start_date, end_date=end_date)
ValueError: No data found for ticker LNT"
20260304T034058Z,Q,ValueError,No data found for ticker Q,"Traceback (most recent call last):
  File ""/home/jose/price-mortality-theory/scripts/garch_comparison.py"", line 68, in garch_analysis
    df = load_ticker_data(ticker, start_date=start_date, end_date=end_date)
ValueError: No data found for ticker Q"
20260304T034058Z,SNDK,ValueError,No data found for ticker SNDK,"Traceback (most recent call last):
  File ""/home/jose/price-mortality-theory/scripts/garch_comparison.py"", line 68, in garch_analysis
    df = load_ticker_data(ticker, start_date=start_date, end_date=end_date)
ValueError: No data found for ticker SNDK"
