run_id,ticker,horizon,W_star,rho_pmt_train,rho_pmt_test,rho_garch_train,rho_garch_test,rho_combo_train,rho_combo_test
20260304T034539Z,A,10,300,0.6951469539209477,0.2385774249723905,0.5122983994568077,-0.05890569337769987,0.6883076487314604,0.2385774249723905
20260304T034539Z,A,21,300,0.7947990503597422,0.14412000213526932,0.5466700570047515,-0.03325515074465848,0.7884182020659212,0.14412000213526932
20260304T034539Z,A,31,300,0.8212686233852882,0.09154586099444517,0.5253996718761176,-0.09747141422727652,0.8175889341498755,0.09154586099444517
20260304T034539Z,A,42,300,0.8332735539966651,-0.20825913486463946,0.4518353690998934,-0.20585522640930054,0.8296890119333107,-0.20825913486463946
20260304T034539Z,AAPL,10,20,0.3090186514940807,0.1856654092786438,0.47346108067029175,0.1209669490300027,0.4957756338254171,0.21964722078445081
20260304T034539Z,AAPL,21,20,0.23942076812899357,0.05527896417083368,0.4582839625142967,0.2004581916940952,0.46211389977915857,0.12973722282046007
20260304T034539Z,AAPL,31,20,0.15045022511107337,-0.020381881118100274,0.4540719324440311,0.2248870648438367,0.45070715189864774,0.17098522350839318
20260304T034539Z,AAPL,42,20,0.08812774561804117,-0.0008185963899019212,0.4049734350143413,0.2345355720257183,0.41225468981906255,0.1303955369149749
20260304T034539Z,ABBV,10,80,0.16474492604952629,0.3234240559475585,0.13836522232173454,0.07588664915523424,0.2200344176803306,0.3231316294769424
20260304T034539Z,ABBV,21,80,0.24996170053428532,0.2687534687534688,0.17373697392055495,-0.0715381571611,0.2920917140300572,0.2705985680985681
20260304T034539Z,ABBV,31,60,0.28500523720531545,0.36256306657892184,0.16817334686360058,-0.2265065123661785,0.31351662446830086,0.36292246318034105
20260304T034539Z,ABBV,42,60,0.2960381107441095,0.2574644457739014,0.11000780345948676,-0.3113624244946249,0.30443795051529493,0.25251802638622123
20260304T034539Z,ABNB,10,300,0.44219762434216675,,0.4319797455167978,0.11490506417867195,0.49786749377805434,
20260304T034539Z,ABNB,21,300,0.4388949559757014,,0.3890320710502933,0.06358171345349388,0.48108561150212603,
20260304T034539Z,ABNB,31,300,0.38395775066557014,,0.37684914497016914,-0.02365488526072468,0.4148636421825062,
20260304T034539Z,ABNB,42,300,0.30627941727803665,,0.34124986995545614,-0.09212088668884882,0.34763545347990815,
20260304T034539Z,ABT,10,20,0.21471386481956922,0.1936341627591352,0.4176992692415719,0.06260722729793428,0.45522698705605474,0.20069913616349033
20260304T034539Z,ABT,21,20,0.23787579607176834,0.17593816275488242,0.38120786234889464,-0.02275295718747939,0.4476884018414415,0.17622577784845242
20260304T034539Z,ABT,31,20,0.18288507255779188,0.19580600736963563,0.35584807059580853,-0.021780202213834615,0.39527639357007754,0.1949021103956527
20260304T034539Z,ABT,42,20,0.1494540407830474,0.3148790236318754,0.2752304103071881,-0.023165878295586265,0.3242105762927629,0.31386429992206494
20260304T034539Z,ACGL,10,300,0.5992523595569529,0.17586459090804316,0.5400312789277549,0.019644252908664766,0.6020100273552472,0.09918250763321189
20260304T034539Z,ACGL,21,300,0.6239787781988129,0.012480649121870496,0.5324070482205405,0.011978183060846416,0.6087649856363511,0.03525863449527572
20260304T034539Z,ACGL,31,300,0.6387432867176699,-0.32179244004877383,0.492318629369315,-0.0421974632407927,0.6054503217404011,-0.252580951090638
20260304T034539Z,ACGL,42,300,0.6810132660467626,-0.4382165317945135,0.44922351087521584,-0.04288091555803571,0.631781026071648,-0.38936501138336
20260304T034539Z,ACN,10,260,0.508978272108182,-0.05923476034878988,0.5724680534388592,-0.09471801811071656,0.5604987135127304,-0.05923476034878988
20260304T034539Z,ACN,21,300,0.5206688080959287,-0.024427480916030534,0.5738868021074182,-0.20807079122621033,0.5923621058208758,-0.024427480916030534
20260304T034539Z,ACN,31,300,0.5292940682635459,-0.012498306462538949,0.5400943803197196,-0.3017994503990605,0.5908940410700635,-0.012498306462538949
20260304T034539Z,ACN,42,300,0.5428296710682003,-0.11459549624687239,0.5013904190676386,-0.34390135543523703,0.5901095534420648,-0.11459549624687239
20260304T034539Z,ADBE,10,60,0.3963467874245881,0.012066286268096712,0.5552482941381276,-0.09562825620807514,0.5473772470398379,0.012066286268096712
20260304T034539Z,ADBE,21,60,0.32853564646984945,0.05580595811880049,0.5316329630586355,-0.1284820117029995,0.5004269274518783,0.05580595811880049
20260304T034539Z,ADBE,31,300,0.31349762728960817,0.3849478390461996,0.504494324887347,-0.12475536409871144,0.434764211163715,0.3849478390461996
20260304T034539Z,ADBE,42,300,0.33540895753797684,0.5243062912787684,0.4675992969382913,-0.2128678712298789,0.42601365206876673,0.5243062912787684
20260304T034539Z,ADI,10,260,0.47146727023575513,-0.025285374891388837,0.4115971582306041,0.1931004039052676,0.5127801818447026,-0.031484048964349656
20260304T034539Z,ADI,21,240,0.5367959738486915,-0.16722926426012677,0.43408519609753093,0.25696220555525573,0.5814962356866102,-0.19421844860843207
20260304T034539Z,ADI,31,240,0.5790102013424155,-0.1762653552708801,0.4060235207603175,0.304740944683082,0.5900326116243407,-0.2177564608503835
20260304T034539Z,ADI,42,300,0.5873635994889942,-0.4941550391091676,0.3561146450771954,0.2782838336119874,0.6025077128255844,-0.5229898789531816
20260304T034539Z,ADM,10,120,0.14141720750792025,0.03850910111044996,0.30006794109052126,0.02651831264141784,0.2809054444475611,0.03850910111044996
20260304T034539Z,ADM,21,260,0.10879934731418948,-0.1905560755513956,0.32259506045135317,-0.15876309219908383,0.31095327518813726,-0.1905560755513956
20260304T034539Z,ADM,31,260,0.1289355244475426,-0.20016965723487465,0.31367968135326507,-0.2741356429438641,0.31652693355549627,-0.20016965723487465
20260304T034539Z,ADM,42,260,0.16673323074314852,-0.1531641406284724,0.29156799019487084,-0.2541005445158958,0.3336821459576222,-0.1531641406284724
20260304T034539Z,ADP,10,280,0.4685407672289317,0.09449433429161355,0.45871075550261314,0.053557314573685004,0.47201626566720356,0.06374468817787035
20260304T034539Z,ADP,21,280,0.5487538279436227,0.046103171836876955,0.5330133948494022,0.14812271803449703,0.5627487415384923,0.037462530498431505
20260304T034539Z,ADP,31,280,0.5966428092520887,-0.036093154672717155,0.5367538310921965,0.0891302424989989,0.610176265917853,-0.041885354681279165
20260304T034539Z,ADP,42,280,0.5908348497663359,-0.04366302967403624,0.5024223647670675,0.03422782654646456,0.5960443692015519,-0.04663453003591473
20260304T034539Z,ADSK,10,300,0.3805384508676425,0.03394238365769681,0.45240964786619653,0.08335107209583167,0.42732413675418063,0.03394238365769681
20260304T034539Z,ADSK,21,300,0.3811951396570613,-0.1562429936475738,0.3952725641257557,-0.04661175135837846,0.38931513232256115,-0.1562429936475738
20260304T034539Z,ADSK,31,300,0.4502541879148685,-0.2672198889039425,0.33952168344539013,-0.0987676478275622,0.4391630099074393,-0.2672198889039425
20260304T034539Z,ADSK,42,300,0.5538918169029434,-0.12884160223609764,0.29356313754620705,-0.06566931880600502,0.5467561041467504,-0.12884160223609764
