horizon,rho_train_count,rho_train_mean,rho_train_median,rho_test_count,rho_test_mean,rho_test_median
10,501,0.393761102882246,0.41311448758039904,493,0.07341782182432845,0.08637175492454356
21,501,0.4253069018392218,0.4371449646357683,493,0.06780089842361225,0.06084982611026364
31,501,0.4408101151224296,0.4618939309236352,493,0.03196430119078796,0.04199295488416203
42,501,0.44917292174330103,0.4826815498564965,494,-0.0035445449518638566,-0.0016410071455943015
