run_id,ticker,horizon,W_star,rho_train,rho_test
20260303T231001Z,A,10,300,0.6951469539209477,0.2385774249723905
20260303T231001Z,A,21,300,0.79479656203116,0.14412000213526932
20260303T231001Z,A,31,300,0.8212616036723848,0.09154586099444517
20260303T231001Z,A,42,300,0.83326858801891,-0.20825913486463946
20260303T231001Z,AAPL,10,20,0.30902290819783196,0.1856654092786438
20260303T231001Z,AAPL,21,20,0.23941938695291004,0.055256321396039414
20260303T231001Z,AAPL,31,20,0.1504438459610761,-0.020381881118100274
20260303T231001Z,AAPL,42,20,0.08813627550313087,-0.0008185963899019212
20260303T231001Z,ABBV,10,80,0.16474546019525962,0.3234240559475585
20260303T231001Z,ABBV,21,80,0.24995224703271143,0.2688222888222888
20260303T231001Z,ABBV,31,60,0.2850094031260345,0.36256306657892184
20260303T231001Z,ABBV,42,60,0.29605356961925916,0.25743701697856425
20260303T231001Z,ABNB,10,300,0.44219762434216675,
20260303T231001Z,ABNB,21,300,0.4388949559757014,
20260303T231001Z,ABNB,31,300,0.38395775066557014,
20260303T231001Z,ABNB,42,300,0.30627941727803665,
20260303T231001Z,ABT,10,20,0.21472387141634572,0.1936341627591352
20260303T231001Z,ABT,21,20,0.23790190029974687,0.17593816275488242
20260303T231001Z,ABT,31,20,0.1828927204234949,0.19580600736963563
20260303T231001Z,ABT,42,20,0.14945020478587343,0.3148790236318754
20260303T231001Z,ACGL,10,300,0.5992523595569529,0.17586459090804316
20260303T231001Z,ACGL,21,300,0.6239787781988129,0.012480649121870496
20260303T231001Z,ACGL,31,300,0.6387432867176699,-0.32179244004877383
20260303T231001Z,ACGL,42,300,0.6810132660467626,-0.4382165317945135
20260303T231001Z,ACN,10,260,0.5089846226816686,-0.05923476034878988
20260303T231001Z,ACN,21,300,0.5206688080959287,-0.024427480916030534
20260303T231001Z,ACN,31,300,0.5292988113128048,-0.012498306462538949
20260303T231001Z,ACN,42,300,0.5428296710682003,-0.11403647183463697
20260303T231001Z,ADBE,10,60,0.3963467874245881,0.012066286268096712
20260303T231001Z,ADBE,21,60,0.32853564646984945,0.05580595811880049
20260303T231001Z,ADBE,31,300,0.31349762728960817,0.3849478390461996
20260303T231001Z,ADBE,42,300,0.33540895753797684,0.5243062912787684
20260303T231001Z,ADI,10,260,0.47147456347249356,-0.025285374891388837
20260303T231001Z,ADI,21,240,0.5367959738486915,-0.16705876274455772
20260303T231001Z,ADI,31,240,0.5790102013424155,-0.1762653552708801
20260303T231001Z,ADI,42,300,0.5873659169452801,-0.4941550391091676
20260303T231001Z,ADM,10,120,0.1414247885090218,0.03850910111044996
20260303T231001Z,ADM,21,260,0.10879934731418948,-0.1904024767801858
20260303T231001Z,ADM,31,260,0.1289355244475426,-0.20016965723487465
20260303T231001Z,ADM,42,260,0.1667321065082185,-0.1531641406284724
20260303T231001Z,ADP,10,280,0.4685407672289317,0.09449433429161355
20260303T231001Z,ADP,21,280,0.5487538279436227,0.046103171836876955
20260303T231001Z,ADP,31,280,0.5966428092520887,-0.036093154672717155
20260303T231001Z,ADP,42,280,0.5908348497663359,-0.04366302967403624
20260303T231001Z,ADSK,10,300,0.3805384508676425,0.03394238365769681
20260303T231001Z,ADSK,21,300,0.3811951396570613,-0.1562429936475738
20260303T231001Z,ADSK,31,300,0.4502541879148685,-0.2672198889039425
20260303T231001Z,ADSK,42,300,0.5538918169029434,-0.12884160223609764
20260303T231001Z,AEE,10,300,0.43749497210205884,0.05722027448128737
20260303T231001Z,AEE,21,300,0.4135344287188318,-0.012720866919340202
20260303T231001Z,AEE,31,300,0.4068584808487528,-0.25260127354017065
20260303T231001Z,AEE,42,300,0.38856044647715526,-0.42379911187250635
20260303T231001Z,AEP,10,160,0.3862776144565089,0.3356756682998977
20260303T231001Z,AEP,21,160,0.26409558634371677,0.5353634565757422
20260303T231001Z,AEP,31,140,0.17575227970587756,0.6731468160823805
20260303T231001Z,AEP,42,120,0.1543936748372886,0.7225545754572505
20260303T231001Z,AES,10,300,0.31862237627888534,0.13147984769201432
20260303T231001Z,AES,21,300,0.3443007527421495,-0.10098222388298723
20260303T231001Z,AES,31,300,0.366527257908837,-0.46184798807749616
20260303T231001Z,AES,42,300,0.38961836527163296,-0.4681423708946645
20260303T231001Z,AFL,10,280,0.5407663712074853,-0.19214012625589047
20260303T231001Z,AFL,21,280,0.6256707225285498,-0.2693098640641338
20260303T231001Z,AFL,31,280,0.6507034406717879,-0.23199623271544156
20260303T231001Z,AFL,42,280,0.6871276395486539,-0.3869314069562605
20260303T231001Z,AIG,10,280,0.5271379646687322,-0.18600092299745538
20260303T231001Z,AIG,21,260,0.5512856221817422,0.15212518299853603
20260303T231001Z,AIG,31,260,0.552135082382057,0.13216011042098
20260303T231001Z,AIG,42,280,0.5596525061349492,-0.10776878012809131
20260303T231001Z,AIZ,10,160,0.4285514700905098,0.09299303479978092
20260303T231001Z,AIZ,21,300,0.5655269085043864,0.14391181337746223
20260303T231001Z,AIZ,31,300,0.6026036810805298,-0.2121121799214198
20260303T231001Z,AIZ,42,300,0.647260508439315,-0.4413813312895882
20260303T231001Z,AJG,10,300,0.39246151953088043,-0.1654159445588873
20260303T231001Z,AJG,21,300,0.4533406759256261,-0.21416751187743555
20260303T231001Z,AJG,31,300,0.4928319719464446,-0.22089825226934015
20260303T231001Z,AJG,42,300,0.5119415542821758,-0.47812366160990016
20260303T231001Z,AKAM,10,160,0.1531200979454413,0.3045052401539927
20260303T231001Z,AKAM,21,160,0.11348299929563935,0.23446446229168172
20260303T231001Z,AKAM,31,160,0.06533842230096056,0.2063592983308698
20260303T231001Z,AKAM,42,140,0.06684746266251206,0.33674444551136956
20260303T231001Z,ALB,10,280,0.2626441278191317,0.32484570841466015
20260303T231001Z,ALB,21,280,0.3152739053447705,0.5304217497385848
20260303T231001Z,ALB,31,280,0.3473720372608079,0.5270002996703625
20260303T231001Z,ALB,42,280,0.4032621373091514,0.7632904996654332
20260303T231001Z,ALGN,10,260,0.5062224208981497,0.2875943909364795
20260303T231001Z,ALGN,21,300,0.519114695180889,0.3279133080659798
20260303T231001Z,ALGN,31,300,0.5615031039304857,0.24365939574583387
20260303T231001Z,ALGN,42,300,0.5807954648837172,-0.02612537474922796
20260303T231001Z,ALL,10,160,0.39783234079667573,0.32344048195878566
20260303T231001Z,ALL,21,160,0.38132091321984923,0.4591135470178231
20260303T231001Z,ALL,31,140,0.3588999184170635,0.6019881231814296
20260303T231001Z,ALL,42,140,0.34646576130513346,0.7294350936074415
20260303T231001Z,ALLE,10,300,0.5516339725124165,0.4296581452709711
20260303T231001Z,ALLE,21,300,0.676672564561695,0.47435007740351254
20260303T231001Z,ALLE,31,300,0.7277519448478231,0.5656144153908682
20260303T231001Z,ALLE,42,300,0.7757674653768719,0.6639451795415099
20260303T231001Z,AMAT,10,220,0.2637983112822672,0.1769115055846789
20260303T231001Z,AMAT,21,300,0.2611924601520354,-0.408065979821705
20260303T231001Z,AMAT,31,300,0.2960160757749549,-0.6422977916271506
20260303T231001Z,AMAT,42,300,0.30079245086628503,-0.8867705069539931
20260303T231001Z,AMCR,10,280,0.22566005227292893,0.24074285770738157
20260303T231001Z,AMCR,21,280,0.2631811925370165,0.17776925758103868
20260303T231001Z,AMCR,31,280,0.3151171196739316,0.04959544501048845
20260303T231001Z,AMCR,42,280,0.352024851686545,-0.2569446530746016
