run_id,ticker,W_star,h_star,rho_train,rho_test
20260303T233831Z,A,300,45,0.8349060374877737,-0.281921667744274
20260303T233831Z,AAPL,20,10,0.30901355905006417,0.1856654092786438
20260303T233831Z,ABBV,60,40,0.3005643417209605,0.2714225497511616
20260303T233831Z,ABNB,300,10,0.44219762434216675,
20260303T233831Z,ABT,20,15,0.2419265956957803,0.2171580549325722
20260303T233831Z,ACGL,300,60,0.7078377802577573,-0.3789744617234098
20260303T233831Z,ACN,300,60,0.5646466827333124,-0.4840559160334756
20260303T233831Z,ADBE,60,10,0.3963467874245881,0.012066286268096712
20260303T233831Z,ADI,300,40,0.5876425250726927,-0.4608859807974853
20260303T233831Z,ADM,260,60,0.2070780616475947,-0.21671458312679684
20260303T233831Z,ADP,280,35,0.6000825915077037,-0.05325573580749341
20260303T233831Z,ADSK,300,60,0.6411616528103166,-0.13250003853089407
20260303T233831Z,AEE,300,15,0.44132853578049785,0.05455784344839173
20260303T233831Z,AEP,160,10,0.3862776144565089,0.3356756682998977
20260303T233831Z,AES,300,60,0.42484359327603005,-0.12665875498975077
20260303T233831Z,AFL,280,60,0.7597333983794713,-0.394138449448184
20260303T233831Z,AIG,260,60,0.5940865044039177,-0.056831878446984896
20260303T233831Z,AIZ,300,60,0.6809553768095529,-0.794537860456514
20260303T233831Z,AJG,300,45,0.5147430044551107,-0.5209153784360979
20260303T233831Z,AKAM,180,5,0.1586723888045738,0.2438395166181427
20260303T233831Z,ALB,280,55,0.42219792733653677,0.7922042889897946
20260303T233831Z,ALGN,300,60,0.6189167954119263,-0.15728310959727507
20260303T233831Z,ALL,160,15,0.4051440536467635,0.3765595905005708
20260303T233831Z,ALLE,300,60,0.8350219158867479,0.8558790438173327
20260303T233831Z,AMAT,300,40,0.3008507430788075,-0.8733556565414973
20260303T233831Z,AMCR,280,60,0.3969283000425191,-0.45869067550483483
20260303T233831Z,AMD,40,25,0.24991666426276604,-0.2589122856270929
20260303T233831Z,AME,300,60,0.6652673051859614,-0.7739931877379282
20260303T233831Z,AMGN,120,5,0.1964320726764702,-0.035476500006177525
20260303T233831Z,AMP,300,60,0.6819679544052325,-0.20503059352989225
20260303T233831Z,AMT,180,15,0.3570455353917901,0.33863521966337884
20260303T233831Z,AMZN,300,60,0.5429117781001274,-0.7975278578364132
20260303T233831Z,ANET,260,20,0.4749870457305047,-0.1081615855743674
20260303T233831Z,AON,80,10,0.470565044728696,0.268848827530485
20260303T233831Z,AOS,300,60,0.7786808216151911,-0.3608341167948461
20260303T233831Z,APA,280,60,0.6022556477370805,0.25620152390063894
20260303T233831Z,APD,60,30,0.26754871041863276,-0.025842936376626068
20260303T233831Z,APH,280,60,0.639880362818253,-0.8172942221614787
20260303T233831Z,APO,160,25,0.510582248230541,0.010326840075200579
20260303T233831Z,APP,100,60,0.8245787253731466,-0.002798805472602264
20260303T233831Z,APTV,300,60,0.669634790031435,-0.22517454495014103
20260303T233831Z,ARE,300,55,0.6705100097871919,0.06862770881548495
20260303T233831Z,ARES,180,10,0.6061648133068122,0.09975909209647928
20260303T233831Z,ATO,120,20,0.3950282220728518,0.4079788440399887
20260303T233831Z,AVB,300,60,0.7548819416095861,-0.751290784951374
20260303T233831Z,AVGO,60,10,0.3527671667301614,0.22926202239702337
20260303T233831Z,AVY,300,60,0.7825929378726968,-0.6270363577516451
20260303T233831Z,AWK,300,60,0.5040374775604338,-0.293605412819999
20260303T233831Z,AXON,300,50,0.35141187582533795,-0.3649795590638447
20260303T233831Z,AXP,280,60,0.4940725721862758,0.3465592647008576
20260303T233831Z,AZO,100,45,0.4334914646094832,0.3930012632829265
20260303T233831Z,BA,300,60,0.8144983724835692,-0.7232711187830402
20260303T233831Z,BAC,300,60,0.6317704933737596,0.4174899434366475
20260303T233831Z,BALL,300,35,0.6511967615678271,-0.4604294984189782
20260303T233831Z,BAX,300,30,0.5015026553660752,0.517032856278976
20260303T233831Z,BBY,300,60,0.6857666842775405,0.4212813834132207
20260303T233831Z,BDX,20,10,0.21704483356511195,-0.10202247937373471
20260303T233831Z,BEN,240,60,0.5072795819541651,-0.05135696662771068
20260303T233831Z,BF-B,120,5,0.21087146890058273,0.034714948376477636
20260303T233831Z,BG,260,60,0.2976414318837356,-0.35621670414760004
20260303T233831Z,BIIB,300,50,0.271317485931584,-0.599810009556067
20260303T233831Z,BK,280,55,0.4875599039864403,0.5411665093137915
20260303T233831Z,BKNG,240,10,0.4638425169898239,-0.09470983860388833
20260303T233831Z,BKR,260,60,0.44123402174517484,0.0025410507531841396
20260303T233831Z,BLDR,140,25,0.43371096318101543,0.5136184953258124
20260303T233831Z,BLK,300,60,0.7711150328470204,0.41762865465530263
20260303T233831Z,BMY,80,30,0.4209133112759444,-0.06282883580967501
20260303T233831Z,BR,300,60,0.6360409992586273,0.22574480218238985
20260303T233831Z,BRK-B,300,60,0.625120374732709,-0.23169397222693155
20260303T233831Z,BRO,100,10,0.3760002468516462,0.2840308923604721
20260303T233831Z,BSX,200,15,0.561456233842249,0.16571983867565476
20260303T233831Z,BX,120,10,0.5851784453944281,0.08938143575828929
20260303T233831Z,BXP,300,60,0.7391085084828887,0.5806297489326943
20260303T233831Z,C,300,60,0.8043112206051514,-0.28360279271920225
20260303T233831Z,CAG,20,5,0.08562049092692472,-0.11956510011501519
20260303T233831Z,CAH,80,60,0.12063204034316061,-0.45230584317627043
20260303T233831Z,CARR,240,60,0.7425207597732169,0.20851401374933895
20260303T233831Z,CAT,300,60,0.6784784633785567,0.29272690843518334
20260303T233831Z,CB,300,60,0.4629329826410162,0.010264630180478707
20260303T233831Z,CBOE,300,60,0.7216051108233952,0.4919778678544457
20260303T233831Z,CBRE,300,60,0.667572173007892,0.023673381317140082
20260303T233831Z,CCI,300,60,0.40556422595204167,-0.4625710894995608
20260303T233831Z,CCL,300,60,0.8241545171891901,-0.28314042199035183
20260303T233831Z,CDNS,40,5,0.3453627113012008,0.12022135805097266
20260303T233831Z,CDW,300,50,0.6495190094848796,0.2749150414755924
20260303T233831Z,CEG,20,30,0.06419293486777473,0.14427519261926827
20260303T233831Z,CF,240,60,0.19270363241589547,0.0193618053704577
20260303T233831Z,CFG,300,60,0.46330495575714714,-0.08798914970022964
20260303T233831Z,CHD,20,5,0.1127261082666499,0.038065222960252706
20260303T233831Z,CHRW,280,15,0.0934560773860503,0.18852138750550423
20260303T233831Z,CHTR,300,35,0.644018153327199,0.5936774116201351
20260303T233831Z,CI,300,50,0.46724952876970544,0.11481416559702802
20260303T233831Z,CIEN,220,10,0.22276886023306958,-0.28679973523022856
20260303T233831Z,CINF,300,60,0.7382126773985759,-0.6255259467040672
20260303T233831Z,CL,300,60,0.3739620248549247,-0.36012514834394216
20260303T233831Z,CLX,300,60,0.05292842144847174,0.9232772837260914
20260303T233831Z,CMCSA,300,60,0.563545026048127,-0.33908728018124934
20260303T233831Z,CME,300,60,0.24535626988819356,0.02712574942588968
20260303T233831Z,CMG,300,60,0.5801479456403077,-0.7490868178105203
20260303T233831Z,CMI,300,60,0.5343341981487849,0.6300417674891728
20260303T233831Z,CMS,140,10,0.3248442641714828,0.4708212587116449
20260303T233831Z,CNC,40,30,0.24466907134449592,0.2949900817303309
20260303T233831Z,CNP,280,60,0.6724708416788601,-0.8531708067106298
20260303T233831Z,COF,300,60,0.8362259849280467,0.14580090316415703
20260303T233831Z,COIN,300,60,0.9318947084186895,
20260303T233831Z,COO,300,60,0.8003255747781779,0.6551330857081208
20260303T233831Z,COP,240,55,0.5059625595284144,0.7896631708209552
20260303T233831Z,COR,280,20,0.17119287553176568,0.2825094485336832
20260303T233831Z,COST,180,10,0.32533562945262473,0.16565329212443675
20260303T233831Z,CPAY,300,60,0.6000902587082673,0.4079342817070727
20260303T233831Z,CPB,20,10,0.08959278276993296,-0.12140146116174635
20260303T233831Z,CPRT,100,10,0.652929614291459,0.20602091739612965
20260303T233831Z,CPT,300,60,0.6633026322656472,-0.2987685526254951
20260303T233831Z,CRH,300,50,0.6504062648971788,0.43190595473025317
20260303T233831Z,CRL,300,45,0.8354048328702703,-0.09124395070436334
20260303T233831Z,CRM,300,10,0.3650213856161199,-0.13722597450496762
20260303T233831Z,CRWD,40,15,0.34842805435078833,0.1202299568426592
20260303T233831Z,CSCO,240,40,0.5800830362229732,0.4354268518453008
20260303T233831Z,CSGP,300,60,0.5655090555400258,-0.18758380469460414
20260303T233831Z,CSX,300,60,0.5047383140888659,-0.16042723055345773
20260303T233831Z,CTAS,180,5,0.2561510894429453,0.03367445109503593
20260303T233831Z,CTRA,280,5,-0.03793168775838674,-0.0761489070052666
20260303T233831Z,CTSH,300,60,0.44167496570169074,-0.22219995992787014
20260303T233831Z,CTVA,180,35,0.17646394428713175,-0.09913294181028734
